example_portuguese_sentence,example_libras_sentence
o carro anda sozinho!,carro veículomover sozinho!
"dom pedro i andou a cavalo, até são paulo, durante três dias.",pedro i andardecavalo 3 dia até são paulo.
hoje andei cinco quilômetros da minha casa à praia.,hoje pessoaandar km 5 casa até praia.
"não faça barulho, ande nas pontas dos pés e assim evite acordar as pessoas.",barulho não andarpontapé evitar pessoa acordar.
seu anel é lindo!,anel seo lindo!
"eu estou triste, angustiado porque meu primo morreu ontem.",eu triste angustiado primo meo morrer ontem.
"não se angustie, porque seu carro roubado já foi encontrado.",angustiar não porque carro seo roubado encontrar já.
no zoológico há vários animais.,zoológico ter animal vário.
"você hoje terminou o namoro, mas não fique triste, anime-se.",hoje você namorarterminar triste não animar!
o terremoto aniquilou a cidade toda.,terremoto cidade todo aniquilar.
o aniversário dela é amanhã.,aniversário delo amanhã.
hoje é o aniversário de um aninho do meu neto.,apagarvela baterpalmas neto meo 1 idade hoje.
ontem eu dormi e sonhei com anjos.,ontem dormir eu sonhar anjo muito.
o ano tem 12 meses.,ano ter 12 mês.
feliz ano novo!,feliz ano novo!
no ano novo vou viajar para a frança.,próximo estorarchampanhe eu viajar frança.
no início do próximo ano eu vou à casa da praia do meu pai em cabo frio.,anoquevem anonovo ir<vou> praia cf casa pai.
"no ano passado, comprei um carro.",anopassado comprar carro.
no ano que vem vamos nos formar em pedagogia.,anoquevem nós2 formar pedagogia.
"no ano que vem, eu vou mudar de casa.",ano depois eu mudar casa.
qual o ano do seu carro ?,carro ano?
quantos anos você tem?,você idade?
há anos que eu trabalho na mesma escola.,anos trabalhar mesmo casa^estudo.
um ónibus passou rápido e atropelou uma pessoa e eu anotei o número da placa dele.,ônibus veículomoverrápido pessoaatropelar eu anotar número placa.
eu vi a polícia anotar a placa do seu carro.,eu ver polícia placa carro seo anotar.
"o ônibus andou rápido, atropelou uma pessoa e eu anotei o número da placa.",ônibus veículomoverrápido pessoaatropelar eu anotar número placa.
a ansiedade é prejudicial à saúde.,ansiedade ruim saúde.
eu estou ansioso para viajar.,eu ansioso viajar.
o iraque e os estados unidos têm interesses antagônicos a respeito do petróleo.,iraque estadosunidos petróleo interesse antagônico.
o meu amigo quer conhecer a antártica! corajoso!,amigo meo querer conhecer antártica! corajoso!
"meu amigo caiu da moto e quebrou o antebraço, foi horrível!",amigo meo moto veículocair quebrar antebraço horrível!
você precisa divulgar a reunião com quarenta dias de antecedência.,reunião você precisar divulgar 40 dia antecedência.
é obrigatório anunciar a reunião da diretoria com antecedência de quarenta e cinco dias.,reunião diretoria obrigatório anunciar antecedência 45 dias.
o feriado de vinte um de abril é antecedente à prova do dia 22.,feriado 21 abril anteceder prova dia 22.
"meu tio antecipou a viagem à fortaleza, porque depois estará ocupado.",viagem fortaleza meo tio antecipar porque depois elo ocupado.
eu antecipei meu casamento para o mês que vem.,casamento eu antecipar mês depois.
"é ótimo a televisão ter antena parabólica, porque possui diversos canais.",televisão antena parabólica canal diverso ótimo.
"a imagem da tv está ruim. por favor, suba no telhado e arrume a antena.","favor, você subir telhado arrumar antena, tv imagemruim."
a formiga tem antenas para se comunicar com as outras.,formiga ter antena(md) comunicar(me)
a barata possui antena comprida.,barata ter antenacomprida.
anteontem teve festa no clube.,anteontem clube festa ter.
"meu cabelo é igual ao dos meus antepassados, como o meu avô.",cabelo meo igual antepassado vovô meo.
no mês passado você me falou que viajaria para a austrália?,você mês anterior 3sfalar1s viajar austrália?
lembra-se que os filmes anteriores eram melhores.,lembrar anterior filme melhor+
"antes eu era gorda, agora sou magra.",antes eu gordo agora magro.
"lave as mãos antes, para poder comer.",antes lavarmão poder comer.
esqueci de tomar a pílula anticoncepcional e agora estou grávida.,esquecer pílula evitar gravidez agora já eu grávida.
eu gosto de carro antigo.,eu gostar carro antigo.
no egito antigo construiram pirâmides bonitas.,egito antigo construir pirâmide+ bonito.
as antilhas são famosas no mundo como local para turismo.,antilhas local famoso mundo turismo.
"eu não gosto dele, ele é sempre antipático.",eu gostarnão elo sempre antipático.
o festival da associação do chope é sempre anual.,associação chope festival sempre anual.
a prova de vestibular foi anulada por causa do roubo de prova.,prova vestibular anulado porcausa roubo prova.
o professor anulou a prova de matemática porque os alunos já sabiam as respostas.,professor anular prova matemática porque aluno saber resposta já.
"ontem, no vôlei, a bola acertou e inchou meu dedo anular.",volêi ontem bola objetoredondoacertaranular inchar.
a televisão anunciou às lojas vão diminuir o preço dos carro.,televisão anunciar amanhã loja+ carro preço diminuir.
"você viu hoje, na televisão, o anúncio da vacina?",você ver televisão anúncio vacina hoje já?
o rio tem peixe grande. é melhor pescar com anzol grande porque é mais dífícil de se quebrar.,rio ter peixe grande pescar melhor anzol grande quebrar difícil.
"eu tenho medo de ir à cozinha porque está escura, com a luz apagada.",cozinha luzapagado escuro eu medo.
"o professor de ciências é mau, jogou o apagador na cabeça do aluno.",professoro ciências mau apagador jogar aluno batercabeça.
você se esqueceu de apagar a luz do banheiro ontem.,ontem banheiro você esquecer luzapagar.
"você é fraco, não conseguiu soprar e apagar a vela.",você fraco conseguirnão soprar apagarvela.
"mês passado, no carnaval, encontrei um colega de infância e fiquei apaixonada.",mês passado colega infância encontrar carnaval eu apaixonado.
"ontem, vi uma mulher linda na boate, apaixonei-me e tive vontade de namorá-la.",ontem boate 1sver3s mulher lindo eu apaixonar vontade namorar.
a polícia pegou o ladrão e apalpou todo o seu corpo para procurar maconha.,polícia ontem ladrão apalpar procurar maconha.
a mulher deixou cair a luva e o homem educado a apanhou e entregou.,mulher luva coisaplanacair homem apanhar 1sentregar3s educado.
"o menino apanhou, com o cinto, do padrinho ruim.",padrinho ruim cinto apanhar menino.
seu pai não sabe aparafusar o armário.,pai seo sabernão armário aparafusar.
aquele famoso ator de televisão sempre aparece na revista.,aquelo ator famoso televisão revista aparecer sempre.
até que enfim você apareceu!,você aparecer atéqueenfim!
o meu pai não tem dinheiro para comprar o aparelho auditivo.,pai meo dinheiro nãoter comprar aparelhoauditivo.
na minha casa não tem aparelho de som porque minha família é de surdos.,casa meo ternão coisagrandequadradasom porque família meo surdo.
"aparentemente ele não está com problema algum, mas é preciso fazer exame médico.","aparentemente ele problema nenhum, precisa fazer exame."
ela mora no apartamento de número 102.,elo morar prédio apartamento número 102.
fiquei apavorado ao ver meu amigo cair da árvore e quebrar o braço e o levei para o hospital.,eu ver amigo árvore pessoacair braço quebrar eu apavorado levar hospital.
não se apavore quando aparecer um vampiro de mentira!,vampiro mentira aparecer você apavorar não!
eu adotei um filho e de repente me apeguei a ele.,eu adotar filho derepente apegar já.
"os alunos apelaram ao diretor para liberá-los da aula de segunda-feira, porque na terça-feira é feriado.",aluno apelar diretor ternão aula segundafeira porque feriado terçafeira.
minha avó me apelidou de chocolate porque adoro comer chocolate.,eu sempre vovó meo nome apelidar chocolate porque adorar comer chocolate.
eu vou apelidar o professor de cabeludo.,nome apelidar professoro cabeludo.
o apelido dele é cavalo.,elo apelido sinal cavalo.
apenas eu tomo um sorvete; vocês podem tomar mais.,apenas eu tomar um sorvete vocês poder mais.
meu chefe me pediu para aperfeiçoar o trabalho.,chefe 3spedir1s aperfeiçoar trabalho.
o professor me pediu que aperfeiçoasse o inglês.,professoo 3spedir1p aperfeiçoar inglês.
ele está apertado por causa do pagamento das parcelas do carro.,elo apertado dinheiro porque pagamentoparcela carro delo.
minha esposa adora usar calça apertada.,esposo meo calça apertado adorar.
"meu vestido está largo, vou pedir à minha mãe que aperte um pouco.",vestido largo eu pedir mae apertar pouco.
"as crianças, geralmente, não têm apetite.",criança ternão vontade comer.
os adolescentes de hoje têm um forte apetite sexual.,adolescente hoje apetitesexual forte.
a comida baiana é muito apimentada.,comida baiana apimentadomuito.
"a polícia apitou, o homem que estava dirigindo fingiu que não ouviu e fugiu.",polícia apitar homem dirigir fingir 0uvirnão fugir.
meu filho comprou três apitos de cores diferentes.,filho meo comprar apito 3 diferente+ cor.
"sábado passado eu fui ao teatro e, no final, todos aplaudiram de pé.","sábado passado eu ir teatro, fim pessoo todo empé aplaudir."
"eu vi um surdo fazendo poesia em língua de sinais, foi lindo, aplaudi muito.","1sver3s surdo poesia línguasinais lindo, eu aplaudirmuito."
está na hora de aplicar injeção.,hora aplicarinjeção já.
todo mês eu aplico o meu dinhiro.,mês sempre dinheiro aplicar.
os pobres apoderaram-se do terreno abandonado.,pessoo pobre+ terreno vazio apoderar.
"avise à empregada que é preciso colocar a uva na geladeira, pois se não colocar, a uva vai apodrecer.",2savisar3s empregado precisar uva colocar gelo^abrir si colocar não uva apodrecer.
"avise à empregada que é preciso colocar a uva na geladeira, pois se não colocar, a uva vai apodrecer.",2savisar3s empregado precisar uva colocar gelo^abrir evitar apodrecer.
"como ator, ele já atingiu o apogeu.",elo ator apogeu já.
"a minha família apoia financeiramente meu irmão, que tem quatro filhos e uma vida com dificuldades.",familia meo apoiar3s dinheiro irmo meo filho 4 vida dificilmuito.
o governo apoiou a proposta de intérprete na escola para os surdos.,proposta intérprete casa^estudo surdo governo apoiar.
"por favor, me empreste o seu apontador?",poder emprestar apontador seo?
a ponta do lápis quebrou e eu o apontei com o apontador.,lápis ponta quebrar eu apontador apontar.
você apontou para essa pessoa. quem é?,você apontar pessoa qum?
"após à festa, nós iremos para casa.",ápos festa nós ir casa.
a maioria das pessoas aposentadas recebem pouco.,aposentado maioria receber pouco.
o dinheiro da minha aposentadoria é muito pouco.,aposentadoria dinheiro meo poucomuito.
falta um ano para o meu tio se aposentar.,faltar 1 ano tio meo aposentar.
os dois amigos apostaram uma corrida de carro.,elo2 amigo apostar corrida carro.
"antes de morrer, jesus fez uma ceia com os doze apóstolos.",jesus morrer antes ceia junto 12 seguidor.
ela viajou para o amazonas e apreciou muito a bonita floresta!,elo viajar amazonas apreciar floresta bonito!
a polícia subiu o morro para apreender o homem e as drogas que vendia.,polícia pessoasubir morro apreender homem vender droga.
"eu aprendi a dirigir com meu pai, que me ensinou há três anos.",eu aprender dirigir 3 anoatrás pai 3sensinar1s.
ela apresentou um desfile de moda diferente!,elo apresentar desfile moda diferente!
"na segunda-feira, você precisa apresentar-se no novo trabalho.",trabalho novo você precisar aovivo^aparecer 2ªfeira.
por que você não me apresentou a seu pai?,porque 2sapresentar1s não pai seo?
ele apressou-se para chegar cedo ao trabalho.,elo apressar chegar cedo trabalho.
apresse-se que o desfile vai começar agora.,você apressar desfile começar agora.
a polícia aprisionou o advogado porque ele falsificou os documentos.,polícia aprisionar advogado elo documento falsificar.
você precisa se aprofundar nos estudos para conhecer psicologia.,você precisar aprofundar estudar conhecer psicologia.
meu amigo foi aprovado na prova de vestibular.,amigo meo prova vestibular aprovado.
foi aprovada a lei sobre a gratuidade de transporte para surdos.,ônibus metrô lei surdo entrar gratuidade aprovado.
ela está feliz porque foi aprovada no vestibular.,vestibular prova elo aprovado feliz.
a professora aprovou todos os alunos com uma boa nota de português.,aluno todo aprovar prova português nota boo.
o governador aprovou a verba para a construção de novas escolas.,governadoro aprovar verba novo escola construir.
eu vou viajar para o paraná e aproveitar para conhecer tudo.,eu viajar paraná aproveitar conhecer tudo.
"meu primo desistiu de viajar de avião, deu-me a passagem e eu aproveitei.",primo desistir aviãoviajar 3sdar1s passagem eu aproveitar.
tenho vontade de me aproximar e paquerar aquele homem bonito.,homem bonito ali eu vontade pessoaaproximarpessoa paquerar.
o nosso trem está quase se aproximando da ferroviária.,trem nosso aproximar ferroviária quase.
o médico mandou avisar que você está apto a trabalhar amanhã.,médico 3savisar2s apto trabalhar amanhã.
meu primo me deu um lindo aquário.,primo meo 3sdar1s quadrado peixe coisaplanamover lindo.
